outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
96,"Cortlandt St, N & R train",12 JOHN ST Manhattan NY 10038,10038,no cigarettes visible,Y,N,,,MN,SA,17/64,17,64,19/64,19,64,SS,17/64,17,64,36/64,36,64,,,,,,,
97,"Cortlandt St, N & R train",15 MAIDEN LN Manhattan NY 10038,10038,bad images,Y,N,,,MN,SA,2/12,2,12,2/12,2,12,RL,2/12,2,12,2/12,2,12,,,,,,,
98,"Cortlandt St, N & R train",24 MAIDEN LN Manhattan NY 10038,10038,,Y,Y,Y; acceptable ,Sally,MN,SA,24/100,24,100,37/100,37,100,SS,21/84,21,84,25/84,25,84,,,,,,,
99,"Cortlandt St, N & R train",65 NASSAU ST Manhattan NY 10038,10038,no cigarettes visible,Y,N,,,MN,SA,5/19,5,19,7/18,7,18,RL,6/19,6,19,10/19,10,19,,,,,,,
100,"Inwood - 207 St,  A train",4879 BROADWAY Manhattan NY 10034,10034,Behind other tobacco products,Y,N,0,Sofiya,MN,JP,2/5,2,5,2/6,2,5,SA,2/5,2,5,2/5,2,5,,,,,,,
101,"Inwood - 207 St,  A train",4973 BROADWAY Manhattan NY 10034,10034,cigarettes partially blocked by vendor,Y,N,N,Sofiya,MN,RL,3/4,3,4,3/4,3,4,SA,14/56,14,56,19/56,19,56,,,,,,,
102,"Inwood - 207 St,  A train",635 W 207TH ST Manhattan NY 10034,10034,cigs behind dark plexigass; difficult to see,Y,Y,Y,Sofiya,MN,SA,3/14,3,14,5/14,5,14,RL,3/14,3,14,5/14,5,14,,,,,,,
103,"Inwood - 207 St,  A train",630 W 207TH ST Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,SA,2/12,2,12,3/12,3,12,SS,2/12,2,12,5/12,5,12,,,,,,,
104,"Inwood - 207 St,  A train",581 W 207TH ST Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,JP,4/13,4,13,4/13,4,13,SA,4/13,4,13,5/13,5,13,,,,,,,
105,"Inwood - 207 St,  A train",132 VERMILYEA AVE Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,JP,4/9,4,10,5/10,5,10,SA,4/10,4,10,5/10,5,10,,,,,,,
106,"Union Square Station, 4, 5, 6, L, N, Q & R train",141 4TH AVE Manhattan NY 10003,10003,"* probably should be cigarettes, dark pictures",Y,N,"pretty bad, dark pictures for cigarettes ",Sally ,MN,RL,11/34,11,34,14/34,14,34,SS,16/79,16,79,19/79,19,79,,,,,,,
107,"Union Square Station, 4, 5, 6, L, N, Q & R train",873 BROADWAY Manhattan NY 10003,10003,,Y,Y,"yes, good pictures",Sally,MN,AV,18/63,18,63,22/63,22,63,SS,15/62,15,62,19/62,19,62,,,,,,,
108,"Union Square Station, 4, 5, 6, L, N, Q & R train",239 EAST 14TH STREET Manhattan NY 10003 ,10003,,Y,Y,"okay, but could use closer pictures",Sally,MN,AV,19/171,19,171,23/171,23,171,SS,29/135,29,135,31/135,31,135,,,,,,,
109,"Union Square Station, 4, 5, 6, L, N, Q & R train",S/W/C UNION SQUARE EAST Manhattan 10003,10003,,Y,Y,"yes, perfect!",Sally,MN,ZZ,35/187,35,187,19/138,19,138,SS,19/138,19,138,26/138,26,138,,,,,,,
110,"Union Square Station, 4, 5, 6, L, N, Q & R train",1 UNION SQ S Manhattan NY 10003,10003,Duane Reade,Y,Y,"yes, but cashier in the way",Sally,MN,AV,42/320,42,320,53/320,53,320,SS,40/285,40,285,51/285,51,285,,,,,,,
111,"Union Square Station, 4, 5, 6, L, N, Q & R train",145 4TH AVE Manhattan NY 10003,10003,Duane Reade,Y,Y,"yes, good pictures",Sally,MN,AV,34/322,34,322,52/322,52,322,SS,25/278,25,278,40/278,40,278,,,,,,,
112,21st St. - Van Alst (G),2302 JACKSON AVE Queens NY 11101,11101,partially blocked,Y,Y,Y; vendor in way,,QN,RL,24/51,24,51,39/51,39,51,AV,24/98,24,98,30/98,30,98,,,,,,,
113,21st St. - Van Alst (G),4520 23RD ST Queens NY 11101,11101,,Y,Y,Y,,QN,RL,39/72,39,72,59/72,59,72,AV,7/62,7,62,7/62,7,62,,,,,,,
